,dataset,variance score,max error,mae,mse,r2 score
Results for ANN
,regAll.csv,-0.07513173818961334,275.4174741109212,198.95123291015625,42537.373697916664,-2.629518102383195
,regBalanced.csv,-0.0022378153534157175,361.52302622795105,133.5810317993164,37966.404296875,-0.8797629299935869
,regEncoded.csv,-0.05652258063745134,268.6439615885417,161.0555419921875,28509.012369791668,-1.3941446697337385
,regEncodedBalanced.csv,-0.001284701498877901,358.91451478004456,131.29525502522787,37123.961588541664,-0.8335253817734246
,regNo365.csv,-0.0006385966770484272,331.74202728271484,70.20303344726562,12333.693684895834,-0.644729197752849
,regOnly365.csv,-506.45226836546885,345.529115041097,332.08971150716144,110312.76822916667,-2204277.7205518335
,regSynthetic.csv,-0.0006949199243696894,291.0658009847005,67.2098159790039,7410.908854166667,-0.0029055821010336804
,regSyntheticWith365.csv,-0.02166375888796231,276.100835164388,150.66405741373697,28485.436848958332,-0.1638892725098149
Results for Random Forest
,regAll.csv,-0.16945954603802313,363.1666666666667,79.24453533774164,13780.479311486912,-0.17928122170061989
,regBalanced.csv,-0.11273522372233169,321.5,131.50967112597547,22992.89305343208,-0.1348287645517344
,regEncoded.csv,-0.14153178182109727,360.3333333333333,78.3263363935209,13416.643665688338,-0.1499201040229182
,regEncodedBalanced.csv,-0.12034331372304836,319.4,130.0122352285396,22674.10691630833,-0.132334458490632
,regNo365.csv,-0.28231367487644904,261.43333333333334,74.92888628064684,9562.989996087637,-0.29763821526481804
,regOnly365.csv,0.3333333333333333,0.8666666666666742,0.004790340651743752,0.006360342320436733,0.3319209039548023
,regSynthetic.csv,0.9277276461631399,158.76666666666668,14.933707165109034,535.1524236760124,0.9275125897028369
,regSyntheticWith365.csv,0.8909028431703835,292.6333333333334,29.669083754918493,2689.9233783024174,0.8899342960744705
Results for SVR
,regAll.csv,0.00022150047066978504,364.1713189178658,43.99512977747903,13505.049877859734,-0.15612369278059637
,regBalanced.csv,0.02220631617983952,305.11867453412384,117.22652468651084,24231.807631632953,-0.19368883160393838
,regEncoded.csv,0.001536588938446844,364.1664079539273,43.71856864085489,13491.901266732291,-0.15464914762335905
,regEncodedBalanced.csv,0.014148441806452139,300.0652121100811,117.0112019872354,24713.78668556502,-0.21719951225973522
,regNo365.csv,0.002200903651966346,298.80902425616705,62.99122327198574,8899.519120462208,-0.19444805474873136
,regOnly365.csv,0.0,1.0419829547115949,0.07989771751621953,0.018624827074157194,-0.0014184397163120959
,regSynthetic.csv,0.023153715024740135,326.0219966117458,60.848865750969914,8401.469039547526,-0.13705486678583903
,regSyntheticWith365.csv,0.5409926437449731,340.16556837407154,83.57330482670446,12388.499582003462,0.49426350431925825
