,dataset,variance score,max error,mae,mse,r2 score
Results for ANN
,regAll.csv,-0.1693587011906009,412.46837361653644,77.90587361653645,13815.019856770834,-0.18052438094259116
,regBalanced.csv,-0.3956929173485672,483.5076162815094,131.95446268717447,29426.837239583332,-0.4817581554694504
,regEncoded.csv,-0.18560310510400924,420.71446736653644,78.53466542561848,13863.549479166666,-0.18727076011632748
,regEncodedBalanced.csv,-0.5450599858825081,646.9694620768229,136.55684916178384,33803.224609375,-0.6672616855278423
,regNo365.csv,-0.6589768109726074,307.27055231730145,90.33988952636719,12862.282877604166,-0.7484749320087626
,regOnly365.csv,-3.190283127973213,4.130564371744792,1.7959223985671997,3.63883908589681,-38.44159303851796
,regSynthetic.csv,0.20365129577486926,312.69468116760254,58.28823216756185,5929.381022135417,0.19742991494338727
,regSyntheticWith365.csv,0.6498460503337762,365.4146868387858,63.38397343953451,8611.255696614584,0.64827064107857
Results for Random Forest
,regAll.csv,-0.061554299764222664,353.29566666666665,77.91390090495366,12462.648095947596,-0.0672895813853401
,regBalanced.csv,0.004311996511085677,287.9873333333333,124.41703830227743,20237.975214533762,-0.023988937476761858
,regEncoded.csv,-0.04975772127244804,349.75066666666663,77.2924714202939,12353.471738516324,-0.06593191150092632
,regEncodedBalanced.csv,0.06263086400963074,254.58066666666664,121.28688616817965,19087.221875196967,0.06065773728254131
,regNo365.csv,-0.22874550300299937,266.60400000000004,76.08855431664058,9248.718051663864,-0.26338395141804694
,regOnly365.csv,0.0,0.8686666666666648,0.007290376409449566,0.006577703306395847,-0.0014184397163120959
,regSynthetic.csv,0.9491352189100807,136.33933333333334,13.527285981308411,377.03645450342674,0.9490101828491241
,regSyntheticWith365.csv,0.8914261725699578,271.77733333333333,29.77724564362001,2665.1147507768405,0.891140709319095
Results for SVR
,regAll.csv,0.00032200284253854533,363.8310824640912,43.98775372453435,13504.308748671823,-0.15642049262419233
,regBalanced.csv,0.031463279557889336,306.99101095683466,117.62959780836489,24438.400236921396,-0.20673347496597208
,regEncoded.csv,0.0010273279254025363,364.2202809987362,43.70458119457921,13495.078375282545,-0.15536109062894007
,regEncodedBalanced.csv,0.01282024590921497,301.79866104419915,118.23415471809604,25022.8546303786,-0.2421228701010351
,regNo365.csv,0.015365776818932067,292.9038785574941,62.47102519124284,8866.72781446721,-0.17819376563055775
,regOnly365.csv,0.0,1.0306453910563202,0.07841430909219353,0.017524647434387378,-0.0014184397163120959
,regSynthetic.csv,0.02815710226450759,325.69599309674703,60.66569140926575,8403.524826010827,-0.13817434551903665
,regSyntheticWith365.csv,0.5384982996462212,338.15776766555126,83.33274918286283,12335.870359577273,0.4968627965768781
